Port country;Port name;Port code;Port location;Latitude;Longitude;Port salinity min;Port salinity max;Target category
SE;Gothenburg;GOT;Site 4;57.68629837036133;11.886300086975098;3.0;35.0;Target Joint
SE;Gothenburg;GOT;Site 5;57.68619918823242;11.84000015258789;3.0;35.0;Target Joint
SE;Gothenburg;GOT;Site 6;57.69049835205078;11.842300415039062;3.0;35.0;Target Joint
SE;Brofjorden;SE_BRO;Site1;58.34170150756836;11.405320167541504;0.0;40.0;Target OSPAR
NL;Rotterdam;ROT;1e Eemhaven;51.88909912109375;4.418099880218506;0.5;29.100000381469727;Target OSPAR
NL;Rotterdam;ROT;7e Petroleumhaven;51.907901763916016;4.2058000564575195;0.5;29.100000381469727;Target OSPAR
NL;Rotterdam;ROT;8e Petroleumhaven;51.980201721191406;4.048600196838379;0.5;29.100000381469727;Target OSPAR
NL;Rotterdam;ROT;Beneluxhaven;51.95009994506836;4.125899791717529;0.5;29.100000381469727;Target OSPAR
NL;Rotterdam;ROT;Brittanniehaven;51.89540100097656;4.243500232696533;0.5;29.100000381469727;Target OSPAR
NL;Rotterdam;ROT;NOVA teminal;51.893699645996094;4.352099895477295;0.5;29.100000381469727;Target OSPAR
NL;Rotterdam;ROT;Team Terminal;51.94279861450195;4.143799781799316;0.5;29.100000381469727;Target OSPAR
GB;Hull;HUL;Research area 1;53.7320556640625;-0.3558169901371002;8.800000190734863;18.399999618530273;Target OSPAR
GB;Hull;HUL;Research area 2;53.74357223510742;-0.2753809988498688;8.800000190734863;18.399999618530273;Target OSPAR
GB;Hull;HUL;Research area 3;53.633358001708984;-0.19132499396800995;8.800000190734863;18.399999618530273;Target OSPAR
ES;Las Palmas;LPA;LPA_1;28.137399673461914;-15.421270370483398;36.599998474121094;37.70000076293945;Target OSPAR
ES;Las Palmas;LPA;LPA_2;28.1370906829834;-15.407899856567383;36.599998474121094;37.70000076293945;Target OSPAR
ES;Las Palmas;LPA;LPA_3;28.128570556640625;-15.417519569396973;36.599998474121094;37.70000076293945;Target OSPAR
